good|好的
How old...? |...多大年纪？...几岁了？
party|聚会；晚会
See you!| 再见！
first|第一
second|第二
third|第三
fifth|第五
eighth|第八
ninth|第九
twelfth|第十二
twentieth|第二十
test|测验；检查
trip|旅游；旅行
art|艺术；美术
festival|(音乐、戏剧等的)节；节日
dear|亲爱的
student|学生
thing|东西；事情
term|学期
busy|忙碌的；无暇的
time|时间
Have a good time! |(表示祝愿)过得愉快！
there|(在)那里

favorite|特别喜爱的(人或事物)
subject|学科；科目
science|科学
P.E.|体育
music|音乐；乐曲
math|数学
Chinese|语文；汉语中国的
geography|地理(学)
history|历史
why|为什么
because|因为
Monday|星期一
Friday|星期五
Saturday|星期六
for sure|无疑；肯定
free|空闲的
cool|妙极的；酷的
Tuesday|星期二
Wednesday|星期三
Thursday|星期四
Sunday|星期日
A.M.|上午
P.M.|下午；午后
useful|有用的；有益的
from|开始
from...to...|从......到......
Mrs.|太太；夫人
finish|完成；做好
lesson|课；一节课
hour|小时
